Tabla 1
Store Type Descr,Llave,Vendor Sequence Nbr,Fineline,Fineline Desc,Category Nbr INTL,CAT,Item Status,Item Type,Vendor Nbr,Vendor Name,Vendor Stk Nbr,UPC,Item Nbr,MARCA,Item Flags,Item Desc 1,Unit Cost,Unit Retail,PRECIO C IVA,WHPK Qty,MU %,Net Ship Qty,Net Ships Cost,Net Ship Retail,POS Qty,POS Cost,POS Sales,SellThru,SI MUMD Qty,SI Total MUMD $,Curr Str On Hand Qty,Curr Str In Transit Qty,Curr Str In Whse Qty,Curr Str On Order Qty,Curr Str On Hand Cost,Curr Str On Hand Retail,Store Weeks Supply,Effective Date,Order book Flag,Curr Traited Store/Item Comb.,Curr Valid Store/Item Comb.,Sel Store Trait,TOTAL INVENTARIO PZS
B3,B3237 ,0,2001,REGULAR,20,20 Proteccion Femenina,A,33,757822,PROCTER & GAMBLE MEXICO S DE,80257920,0750619517813,219589,ALWAYS,,ALWAYS SUAVE DIA 10S,$18.83 ,$30.00 ,$34.80 ,8 ,37.23%,0 ,$0 ,$0 ,53 ,$998 ,"$1,045 ",0.00%,94 ,$931 ,237 ,0 ,0 ,0 ,"$4,463 ","$6,114 ",13.42,08/15/2016,Y,0 ,0 ,1312,237 
B3,"B37,858 ",0,2001,REGULAR,20,20 Proteccion Femenina,A,33,757822,PROCTER & GAMBLE MEXICO S DE,80257920,0750619517813,219589,ALWAYS,,ALWAYS SUAVE DIA 10S,$18.83 ,$30.00 ,$34.80 ,8 ,37.23%,"5,800 ","$110,178 ","$150,800 ","5,262 ","$99,083 ","$136,591 ",90.72%,120 ,$571 ,"6,498 ",360 ,144 ,856 ,"$122,395 ","$168,924 ",6.17,08/15/2016,Y,552 ,552 ,9,"7,858 "
B3,B34 ,0,2001,REGULAR,20,20 Proteccion Femenina,A,33,757822,PROCTER & GAMBLE MEXICO S DE,80304464,0750619512983,100164566,ALWAYS,,ALWAYS SUAVE DIA 8S,$19.88 ,$26.00 ,$30.16 ,16 ,23.54%,0 ,$0 ,$0 ,0 ,$0 ,$0 ,0.00%,0 ,$0 ,4 ,0 ,0 ,0 ,$80 ,$100 ,0.00,10/06/2017,Y,0 ,0 ,1312,4 
B3,B35 ,0,2001,REGULAR,20,20 Proteccion Femenina,A,33,757822,PROCTER & GAMBLE MEXICO S DE,80304464,0750619512983,100164566,ALWAYS,,ALWAYS SUAVE DIA 8S,$19.88 ,$26.00 ,$30.16 ,16 ,23.54%,0 ,$0 ,$0 ,1 ,$20 ,$26 ,0.00%,0 ,$0 ,5 ,0 ,0 ,0 ,$99 ,$128 ,5.00,10/06/2017,Y,0 ,0 ,9,5 
B3,B30 ,0,2001,REGULAR,20,20 Proteccion Femenina,A,33,757822,PROCTER & GAMBLE MEXICO S DE,80320810,0750043513862,100256899,NATURELLA,,NATURELLA MODERAD 16,$31.34 ,$42.00 ,$48.72 ,12 ,25.38%,0 ,$0 ,$0 ,17 ,$533 ,$199 ,0.00%,0 ,$0 ,0 ,0 ,0 ,0 ,$0 ,$0 ,0.00,08/02/2018,Y,0 ,0 ,9,0 
